Time Step,Throughput,Avg Waiting Time,Avg Stop Time,Stop Count,Fairness,Stability (Speed deviation)
257,0.0,3.09,0.08,1,0.91,1.386
258,0.0,3.09,0.08,1,0.91,1.384
259,0.0,3.09,0.08,1,0.91,1.381
260,0.0,3.09,0.05,1,0.91,1.378
261,0.0,3.09,0.05,1,0.91,1.376
262,0.0,3.09,0.05,1,0.91,1.373
263,0.0,3.09,0.05,1,0.91,1.371
264,0.0,3.09,0.05,1,0.91,1.368
265,0.0,3.09,0.05,1,0.91,1.365
266,0.0,3.09,0.05,1,0.91,1.363
267,0.0,3.09,0.05,1,0.91,1.36
268,0.0,3.09,0.05,1,0.91,1.358
269,0.0,3.09,0.05,1,0.91,1.355
270,0.0,3.09,0.05,1,0.91,1.353
271,0.0,3.09,0.05,1,0.91,1.35
272,0.0,3.09,0.05,1,0.91,1.348
273,0.0,3.09,0.05,1,0.91,1.345
274,0.0,3.09,0.05,1,0.91,1.343
275,0.0,3.09,0.05,1,0.91,1.34
276,0.0,3.09,0.05,1,0.91,1.338
277,0.0,3.09,0.05,1,0.91,1.335
278,0.0,3.09,0.05,1,0.91,1.333
279,0.0,3.09,0.05,1,0.91,1.331
280,0.0,3.09,0.05,1,0.91,1.328
281,0.0,3.09,0.05,1,0.91,1.326
282,0.0,3.09,0.05,1,0.91,1.324
283,0.0,3.09,0.05,1,0.91,1.321
284,0.0,3.09,0.05,1,0.91,1.319
285,0.0,3.09,0.05,1,0.91,1.317
286,0.0,3.09,0.05,1,0.91,1.314
287,0.0,3.09,0.05,1,0.91,1.312
288,0.0,3.09,0.05,1,0.91,1.31
289,0.0,3.09,0.05,1,0.91,1.307
290,0.0,3.09,0.05,1,0.91,1.431
291,0.0,3.09,0.05,1,0.91,1.429
292,0.0,3.09,0.05,1,0.91,1.426
293,0.0,3.09,0.05,1,0.91,1.424
294,0.0,3.09,0.05,1,0.91,1.421
295,0.0,3.09,0.05,1,0.91,1.419
296,0.0,3.09,0.05,1,0.91,1.417
297,0.0,3.09,0.05,1,0.91,1.414
298,0.0,3.09,0.05,2,0.91,1.412
299,0.0,3.09,0.05,2,0.89,1.409
300,0.0,3.09,0.05,2,0.89,1.407
301,0.0,3.09,0.05,2,0.89,1.405
302,0.0,3.09,0.05,2,0.89,1.402
303,0.0,3.09,0.05,2,0.89,1.4
304,0.0,3.09,0.05,2,0.89,1.398
305,0.0,3.09,0.05,2,0.89,1.396
306,0.0,3.09,0.05,2,0.89,1.393
307,0.0,3.09,0.05,2,0.89,1.391
308,0.0,3.09,0.05,2,0.89,1.389
309,0.0,3.09,0.05,2,0.89,1.386
310,0.0,3.09,0.05,2,0.89,1.384
311,0.0,3.09,0.05,2,0.89,1.382
312,0.0,3.09,0.05,2,0.89,1.38
313,0.0,3.09,0.05,2,0.89,1.378
314,0.0,3.09,0.05,2,0.89,1.375
315,0.0,3.09,0.05,2,0.89,1.373
316,0.0,3.09,0.05,2,0.89,1.371
317,0.0,3.09,0.05,2,0.89,1.369
318,0.0,3.09,0.05,2,0.89,1.367
319,0.0,3.09,0.05,2,0.89,1.365
320,0.0,3.09,0.05,2,0.89,1.362
321,0.0,3.09,0.05,2,0.89,1.36
322,0.0,3.09,0.05,2,0.89,1.358
323,0.0,3.09,0.05,2,0.89,1.356
324,0.0,3.09,0.05,2,0.89,1.354
325,0.0,3.09,0.05,2,0.89,1.352
326,0.0,3.09,0.05,2,0.89,1.35
327,0.0,3.09,0.05,2,0.89,1.348
328,0.0,3.09,0.05,2,0.89,1.346
329,0.0,3.09,0.05,2,0.89,1.344
330,0.0,3.09,0.05,2,0.89,1.342
331,0.0,3.09,0.05,2,0.89,1.34
332,0.0,3.09,0.05,2,0.89,1.338
333,0.0,3.09,0.05,2,0.89,1.336
334,0.0,3.09,0.05,2,0.89,1.334
335,0.0,3.09,0.05,2,0.89,1.332
336,0.0,3.09,0.05,2,0.89,1.33
337,0.0,3.09,0.05,2,0.89,1.328
338,0.0,3.09,0.05,2,0.89,1.326
339,0.0,3.09,0.05,2,0.89,1.324
340,0.0,3.09,0.05,2,0.89,1.322
341,0.0,3.09,0.05,2,0.89,1.32
342,0.0,3.09,0.05,2,0.89,1.318
343,0.0,3.09,0.05,2,0.89,1.316
344,0.0,3.09,0.05,2,0.89,1.314
345,0.0,3.09,0.05,2,0.89,1.312
346,0.0,3.09,0.05,2,0.89,1.31
347,0.0,3.09,0.05,2,0.89,1.308
348,0.0,3.09,0.05,2,0.89,1.306
349,0.0,3.09,0.05,2,0.89,1.305
350,0.0,3.09,0.05,2,0.89,1.303
351,0.0,3.09,0.05,2,0.89,1.301
352,0.0,3.09,0.05,2,0.89,1.299
353,0.0,3.09,0.05,2,0.89,1.297
354,0.0,3.09,0.05,2,0.89,1.295
355,0.0,3.09,0.05,2,0.89,1.294
356,0.0,3.09,0.05,2,0.89,1.292
357,0.0,3.09,0.05,2,0.89,1.29
358,0.0,3.09,0.05,2,0.89,1.288
359,0.0,3.09,0.05,2,0.89,1.286
360,0.0,3.09,0.05,2,0.89,1.285
361,0.0,3.09,0.05,2,0.89,1.283
362,0.0,3.09,0.05,2,0.9,1.281
363,0.0,3.09,0.05,2,0.9,1.279
364,0.0,3.09,0.05,2,0.9,1.277
365,0.0,3.09,0.05,2,0.9,1.276
366,0.0,3.09,0.05,2,0.9,1.274
367,0.0,3.09,0.05,2,0.9,1.272
368,0.0,3.09,0.05,2,0.9,1.27
369,0.0,3.09,0.05,2,0.9,1.269
370,0.0,3.09,0.05,2,0.9,1.267
371,0.0,3.09,0.05,2,0.9,1.265
372,0.0,3.09,0.05,2,0.9,1.264
373,0.0,3.09,0.05,2,0.9,1.262
374,0.0,3.09,0.05,2,0.9,1.26
375,0.0,3.09,0.05,2,0.9,1.259
376,0.0,3.09,0.05,2,0.9,1.257
377,0.0,3.09,0.05,2,0.9,1.255
378,0.0,3.09,0.05,2,0.9,1.254
379,0.0,3.09,0.05,2,0.9,1.252
380,0.0,3.09,0.05,2,0.9,1.25
381,0.0,3.09,0.05,2,0.9,1.249
382,0.0,3.09,0.05,2,0.9,1.247
383,0.0,3.09,0.05,2,0.9,1.245
384,0.0,3.09,0.05,2,0.9,1.244
385,0.0,3.09,0.05,2,0.9,1.242
386,0.0,3.09,0.05,2,0.9,1.241
387,0.0,3.09,0.05,2,0.9,1.239
388,0.0,3.09,0.05,2,0.9,1.237
389,0.0,3.09,0.05,2,0.9,1.236
390,0.0,3.09,0.05,2,0.9,1.234
391,0.0,3.09,0.05,2,0.9,1.233
392,0.0,3.09,0.05,2,0.9,1.231
393,0.0,3.09,0.05,2,0.9,1.229
394,0.0,3.09,0.05,2,0.9,1.228
395,0.0,3.09,0.05,2,0.9,1.226
396,0.0,3.09,0.05,2,0.9,1.225
397,0.0,3.09,0.05,2,0.9,1.223
398,0.0,3.09,0.05,2,0.9,1.222
399,0.0,3.09,0.05,2,0.9,1.22
400,0.0,3.09,0.05,2,0.9,1.219
401,0.0,3.09,0.05,2,0.9,1.217
402,0.0,3.09,0.05,2,0.9,1.216
403,0.0,3.09,0.05,2,0.9,1.214
404,0.0,3.09,0.05,2,0.9,1.213
405,0.0,3.09,0.05,2,0.9,1.211
406,0.0,3.09,0.05,2,0.9,1.21
407,0.0,3.09,0.05,2,0.9,1.208
408,0.0,3.09,0.05,2,0.9,1.207
409,0.0,3.09,0.05,2,0.9,1.205
410,0.0,3.09,0.05,2,0.9,1.204
411,0.0,3.09,0.05,2,0.9,1.202
412,0.0,3.09,0.05,2,0.9,1.201
413,0.0,3.09,0.05,2,0.9,1.199
414,0.0,3.09,0.05,2,0.9,1.198
415,0.0,3.09,0.05,2,0.9,1.196
416,0.0,3.09,0.05,2,0.9,1.195
417,0.0,3.09,0.05,2,0.9,1.194
418,0.0,3.09,0.05,2,0.9,1.192
419,0.0,3.09,0.05,2,0.9,1.287
420,0.0,3.09,0.05,2,0.9,1.285
421,0.0,3.09,0.05,2,0.9,1.284
422,0.0,3.09,0.05,2,0.9,1.282
423,0.0,3.09,0.05,2,0.9,1.281
424,0.0,3.09,0.05,2,0.9,1.279
425,0.0,3.09,0.05,2,0.9,1.278
426,0.0,3.09,0.05,2,0.9,1.276
427,0.0,3.09,0.05,2,0.9,1.275
428,0.0,3.09,0.05,2,0.9,1.273
429,0.0,3.09,0.05,2,0.9,1.36
430,0.0,3.09,0.05,2,0.9,1.359
431,0.0,3.09,0.05,2,0.9,1.357
432,0.0,3.09,0.05,2,0.9,1.356
433,0.0,3.09,0.05,2,0.9,1.354
434,0.0,3.09,0.05,2,0.9,1.353
435,0.0,3.09,0.05,2,0.9,1.351
436,0.0,3.09,0.05,2,0.9,1.349
437,0.0,3.09,0.05,2,0.9,1.348
438,0.0,3.09,0.05,2,0.9,1.346
439,0.0,3.09,0.05,3,0.9,1.345
440,0.0,3.09,0.05,3,0.9,1.343
441,0.0,3.09,0.05,3,0.9,1.342
442,0.0,3.09,0.05,3,0.9,1.34
443,0.0,3.09,0.05,3,0.9,1.339
444,0.0,3.09,0.05,3,0.9,1.337
445,0.0,3.09,0.05,3,0.9,1.336
446,0.0,3.09,0.05,3,0.9,1.334
447,0.0,3.09,0.05,3,0.9,1.333
448,0.0,3.09,0.05,3,0.9,1.331
449,0.0,3.09,0.05,3,0.9,1.33
450,0.0,3.09,0.05,3,0.9,1.328
451,0.0,3.09,0.05,3,0.9,1.327
452,0.0,3.09,0.05,3,0.9,1.325
453,0.0,3.09,0.05,3,0.9,1.324
454,0.0,3.09,0.05,3,0.9,1.322
455,0.0,3.09,0.05,3,0.9,1.321
456,0.0,3.09,0.05,3,0.9,1.32
457,0.0,3.09,0.05,3,0.9,1.318
458,0.0,3.09,0.05,3,0.9,1.317
459,0.0,3.09,0.05,3,0.9,1.315
460,0.0,3.09,0.05,3,0.9,1.314
461,0.0,3.09,0.05,3,0.9,1.312
462,0.0,3.09,0.05,3,0.9,1.311
463,0.0,3.09,0.05,3,0.9,1.31
464,0.0,3.09,0.05,3,0.9,1.308
465,0.0,3.09,0.05,3,0.9,1.307
466,0.0,3.19,0.05,3,0.9,1.305
467,0.0,3.19,0.05,3,0.9,1.304
468,0.0,3.19,0.05,3,0.9,1.303
469,0.0,3.19,0.05,3,0.91,1.301
470,0.0,3.19,0.05,3,0.91,1.3
471,0.0,3.19,0.05,3,0.91,1.298
472,0.0,3.19,0.05,3,0.91,1.297
473,0.0,3.19,0.05,3,0.91,1.296
474,0.0,3.19,0.05,3,0.91,1.294
475,0.0,3.19,0.05,3,0.91,1.293
476,0.0,3.19,0.05,3,0.91,1.292
477,0.0,3.19,0.05,3,0.91,1.29
478,0.0,3.19,0.05,3,0.91,1.289
479,0.0,3.19,0.05,3,0.91,1.287
480,0.0,3.19,0.05,3,0.91,1.286
481,0.0,3.19,0.05,3,0.91,1.285
482,0.0,3.19,0.05,3,0.91,1.283
483,0.0,3.19,0.05,3,0.91,1.282
484,0.0,3.19,0.05,3,0.91,1.281
485,0.0,3.19,0.05,3,0.91,1.279
486,0.0,3.19,0.05,3,0.91,1.278
487,0.0,3.19,0.05,3,0.91,1.277
488,0.0,3.19,0.05,3,0.91,1.276
489,0.0,3.19,0.05,3,0.91,1.274
490,0.0,3.19,0.05,3,0.91,1.273
491,0.0,3.19,0.05,3,0.91,1.272
492,0.0,3.19,0.05,3,0.91,1.27
493,0.0,3.19,0.05,3,0.91,1.269
494,0.0,3.19,0.05,3,0.91,1.268
495,0.0,3.19,0.05,3,0.91,1.267
496,0.0,3.19,0.05,3,0.91,1.265
497,0.0,3.19,0.05,3,0.91,1.264
498,0.0,3.19,0.05,3,0.91,1.263
499,0.0,3.19,0.05,3,0.91,1.261
500,0.0,3.19,0.05,3,0.91,1.26
501,0.0,3.19,0.05,3,0.91,1.259
502,0.0,3.19,0.05,3,0.91,1.258
503,0.0,3.19,0.05,3,0.91,1.256
504,0.0,3.19,0.05,3,0.91,1.255
505,0.0,3.19,0.05,3,0.91,1.254
506,0.0,3.19,0.05,3,0.91,1.253
507,0.0,3.19,0.05,3,0.91,1.251
508,0.0,3.19,0.05,3,0.91,1.25
509,0.0,3.19,0.05,3,0.91,1.249
510,0.0,3.19,0.05,3,0.91,1.248
511,0.0,3.19,0.05,3,0.91,1.247
512,0.0,3.19,0.05,3,0.91,1.245
513,0.0,3.19,0.05,3,0.91,1.244
514,0.0,3.19,0.05,3,0.91,1.243
515,0.0,3.19,0.05,3,0.91,1.242
516,0.0,3.19,0.05,3,0.91,1.24
517,0.0,3.19,0.05,3,0.91,1.239
518,0.0,3.19,0.05,3,0.91,1.238
519,0.0,3.19,0.05,3,0.91,1.237
520,0.0,3.19,0.05,3,0.91,1.236
521,0.0,3.19,0.05,3,0.91,1.235
522,0.0,3.19,0.05,3,0.91,1.233
523,0.0,3.19,0.05,3,0.91,1.232
524,0.0,3.19,0.05,3,0.91,1.231
525,0.0,3.19,0.05,3,0.91,1.23
526,0.0,3.19,0.05,3,0.91,1.229
527,0.0,3.19,0.05,3,0.91,1.227
528,0.0,3.19,0.05,3,0.91,1.226
529,0.0,3.19,0.05,3,0.91,1.225
530,0.0,3.19,0.05,3,0.91,1.224
531,0.0,3.19,0.05,3,0.91,1.223
532,0.0,3.19,0.05,3,0.91,1.222
533,0.0,3.19,0.05,3,0.91,1.221
534,0.0,3.19,0.05,3,0.91,1.219
535,0.0,3.19,0.05,3,0.91,1.218
536,0.0,3.19,0.05,3,0.91,1.217
537,0.0,3.19,0.05,3,0.89,1.216
538,0.0,3.19,0.05,3,0.89,1.215
539,0.0,3.19,0.05,3,0.89,1.214
540,0.0,3.19,0.05,3,0.89,1.213
541,0.0,3.19,0.05,3,0.89,1.211
542,0.0,3.19,0.05,3,0.89,1.21
543,0.0,3.19,0.05,3,0.89,1.209
544,0.0,3.19,0.05,3,0.89,1.208
545,0.0,3.19,0.05,3,0.89,1.207
546,0.0,3.19,0.05,3,0.89,1.206
547,0.0,3.19,0.05,3,0.89,1.205
548,0.0,3.19,0.05,3,0.89,1.204
549,0.0,3.19,0.05,3,0.89,1.203
550,0.0,3.19,0.05,3,0.89,1.202
551,0.0,3.19,0.05,3,0.89,1.2
552,0.0,3.19,0.05,3,0.89,1.199
553,0.0,3.19,0.05,3,0.89,1.198
554,0.0,3.19,0.05,3,0.89,1.197
555,0.0,3.19,0.05,3,0.89,1.196
556,0.0,3.19,0.05,3,0.89,1.195
557,0.0,3.19,0.05,3,0.89,1.194
558,0.0,3.19,0.05,3,0.89,1.193
559,0.0,3.19,0.05,3,0.89,1.192
560,0.0,3.19,0.05,3,0.89,1.191
561,0.0,3.19,0.05,3,0.89,1.19
562,0.0,3.19,0.05,3,0.89,1.189
563,0.0,3.19,0.05,3,0.89,1.188
564,0.0,3.19,0.05,3,0.89,1.187
565,0.0,3.19,0.05,3,0.89,1.185
566,0.0,3.19,0.05,3,0.89,1.184
567,0.0,3.19,0.05,3,0.89,1.183
568,0.0,3.19,0.05,3,0.89,1.182
569,0.0,3.19,0.05,3,0.89,1.181
570,0.0,3.19,0.05,3,0.89,1.18
571,0.0,3.19,0.05,3,0.89,1.179
572,0.0,3.19,0.05,3,0.89,1.178
573,0.0,3.19,0.05,3,0.89,1.177
574,0.0,3.19,0.05,3,0.89,1.176
575,0.0,3.19,0.05,3,0.89,1.175
